,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
125,Urdoma,100,RU,1580009652,96,61.75,48.54,3.36,4.5
126,Deep River,90,CA,1580009653,99,46.1,-77.5,34.0,4.32
127,San Quintin,0,MX,1580009545,85,30.48,-115.95,59.31,4.99
128,Amahai,100,ID,1580009657,75,-3.33,128.92,83.23,4.23
129,Alice Springs,0,AU,1580009031,10,-23.7,133.88,95.0,14.99
130,Henties Bay,0,NA,1580009521,96,-22.12,14.28,62.01,2.66
131,Gatton,40,AU,1580009660,55,-27.55,152.28,89.01,9.17
132,Monroe,90,US,1580009194,80,43.15,-77.68,37.0,9.17
133,Chicama,75,PE,1580009173,94,-7.84,-79.15,73.4,6.93
134,Dasoguz,19,TM,1580009663,79,41.84,59.97,24.8,9.17
135,Eyl,9,SO,1580009622,80,7.98,49.82,78.76,20.2
136,Mecca,0,SA,1580009562,29,21.43,39.83,57.22,11.59
137,Cap Malheureux,75,MU,1580009252,83,-19.98,57.61,78.01,13.87
138,Gonder,65,ET,1580009531,28,12.6,37.47,53.35,6.22
139,Valley,90,US,1580009669,86,45.13,-116.13,33.8,3.36
140,Hamilton,90,US,1580009016,86,39.18,-84.53,34.0,6.93
141,Cuite,100,BR,1580009671,81,-6.48,-36.15,75.81,8.9
142,Tchollire,0,CM,1580009673,16,8.4,14.17,60.42,1.34
143,Kaeo,5,NZ,1580009245,73,-35.1,173.78,81.0,11.01
144,Saint George,1,US,1580009278,57,37.1,-113.58,51.01,0.96
145,Farafangana,0,MG,1580009676,56,-22.82,47.83,77.47,6.46
146,Tasiilaq,100,GL,1580009155,79,65.61,-37.64,28.4,31.09
147,Brus Laguna,0,HN,1580009678,86,15.75,-84.48,66.51,2.55
148,Shakawe,0,BW,1580009679,66,-18.37,21.85,68.59,3.38
149,Hoquiam,40,US,1580009177,93,46.98,-123.89,50.0,11.41
150,Kodiak,90,US,1580009170,61,57.79,-152.41,17.6,19.46
151,Chokurdakh,100,RU,1580009172,86,70.63,147.92,-22.23,5.99
152,Phan Thiet,67,VN,1580009537,53,10.93,108.1,84.27,6.17
153,Evensk,100,RU,1580009205,87,61.95,159.23,15.19,21.16
154,Port Lincoln,32,AU,1580009606,54,-34.73,135.87,74.1,10.18
155,Kavieng,48,PG,1580009162,72,-2.57,150.8,84.87,11.7
156,Naze,75,JP,1580009120,94,28.37,129.48,71.6,8.05
157,Kommunisticheskiy,92,RU,1580009692,99,61.68,64.48,-8.52,3.67
158,Caarapo,0,BR,1580009693,69,-22.63,-54.82,69.94,3.85
159,Pokaran,0,IN,1580009695,33,26.92,71.92,63.84,7.9
160,Port Hardy,90,CA,1580009536,81,50.7,-127.42,46.4,23.04
161,Tiksi,0,RU,1580009015,67,71.69,128.87,-28.1,5.19
162,Japura,39,ID,1580009699,67,-0.32,102.35,86.5,3.36
163,Kimbe,85,PG,1580009197,81,-5.55,150.14,84.18,3.58
164,Chui,3,UY,1580009166,80,-33.7,-53.46,65.59,5.46
165,Fairbanks,1,US,1580008892,74,64.84,-147.72,-9.99,6.04
166,Kapoeta,97,SS,1580009703,26,4.77,33.59,74.89,2.91
167,Provideniya,0,RU,1580009033,69,64.38,-173.3,-5.44,3.4
168,Saint-Augustin,40,CA,1580008961,79,51.23,-58.65,14.79,10.8
169,Marshall,1,US,1580009707,86,34.38,-86.33,37.4,2.37
170,Aransas Pass,75,US,1580009708,94,27.91,-97.15,68.0,10.29
171,Diok'nisi,0,GE,1580009709,92,41.63,42.39,37.4,3.36
172,Portland,90,US,1580009487,76,45.52,-122.68,54.0,6.93
173,Fortuna,90,US,1580008920,87,40.6,-124.16,59.0,9.17
174,Maria Aurora,90,PH,1580009712,83,15.8,121.47,74.19,2.86
175,Broome,90,US,1580008963,99,42.25,-75.83,35.01,6.93
176,Lakes Entrance,63,AU,1580009233,57,-37.88,147.98,93.0,5.99
177,Sabang,83,ID,1580009094,68,5.89,95.32,82.35,12.33
178,Saint Anthony,90,US,1580009080,74,45.02,-93.22,28.99,5.82
179,Pecos,1,US,1580009583,30,31.42,-103.49,55.4,8.05
180,Okha,0,RU,1580009211,85,53.57,142.95,-9.99,19.69
181,Paracuru,20,BR,1580009722,79,-3.41,-39.03,86.0,9.17
182,Ust-Nera,100,RU,1580009219,98,64.57,143.2,-36.72,3.04
183,Mubende,100,UG,1580009725,79,0.56,31.39,63.37,1.36
184,Bom Jardim,75,BR,1580009729,83,-7.8,-35.59,77.0,10.29
185,Ayan,0,RU,1580009519,70,56.45,138.17,-11.85,11.83
186,Hong Kong,40,HK,1580008906,87,22.29,114.16,64.0,10.29
187,Iranshahr,0,IR,1580009732,81,27.2,60.68,50.0,6.93
188,Kushiro,20,JP,1580009545,48,42.98,144.37,17.6,5.82
189,Yarovoy,34,RU,1580009734,88,52.93,78.58,5.54,15.61
190,Batemans Bay,0,AU,1580009736,82,-35.72,150.18,95.0,3.0
191,Salta,90,AR,1580009508,94,-24.79,-65.41,77.0,5.82
192,Ambon,20,ID,1580009589,59,-3.7,128.18,89.6,8.05
193,Lakhdenpokhya,100,RU,1580009739,90,61.52,30.2,25.0,4.76
194,San Rafael,0,AR,1580009589,28,-34.62,-68.33,77.09,2.57
195,Gambiran,1,ID,1580009742,71,-6.8,111.5,84.29,4.81
196,Vostok,51,RU,1580009531,77,46.49,135.88,5.63,6.69
197,Margate,75,GB,1580009184,93,51.38,1.39,46.0,10.29
198,Ondangwa,100,NA,1580009747,73,-17.92,15.95,75.2,2.24
199,Hualmay,100,PE,1580009206,71,-11.1,-77.61,74.28,5.99
200,Westport,90,US,1580009205,93,41.14,-73.36,46.99,8.05
201,Menongue,100,AO,1580009218,95,-14.66,17.69,61.77,3.18
202,Yulara,0,AU,1580009172,9,-25.24,130.99,93.2,10.29
203,Alofi,22,NU,1580009194,83,-19.06,-169.92,82.4,9.17
204,Cayenne,90,GF,1580009046,94,4.93,-52.33,75.2,9.17
205,Chapais,90,CA,1580008939,85,49.78,-74.85,23.0,9.17
206,Moron,0,AR,1580009520,54,-34.65,-58.62,80.6,10.29
207,Cabanas,2,CU,1580009758,68,22.98,-82.92,68.0,5.99
208,Husavik,90,IS,1580009203,92,66.04,-17.34,26.6,12.75
209,Pisco,90,PE,1580009172,83,-13.7,-76.22,73.4,17.22
210,Umm Lajj,0,SA,1580009234,32,25.02,37.27,48.34,12.75
211,Yarkovo,100,RU,1580009762,95,57.4,67.08,9.34,6.69
212,Qaanaaq,55,GL,1580009163,43,77.48,-69.36,-12.03,4.43
213,Arona,40,ES,1580009764,51,28.1,-16.68,60.8,6.93
214,Vao,91,NC,1580009551,79,-22.67,167.48,77.95,15.61
215,Kirakira,3,SB,1580009191,77,-10.45,161.92,84.58,7.16
216,Ancud,76,CL,1580009222,87,-41.87,-73.82,59.0,4.7
217,Airai,48,TL,1580009187,63,-8.93,125.41,82.2,3.29
218,Sasni,0,IN,1580009770,58,27.72,78.08,53.65,3.67
219,Cabadiangan,4,PH,1580009771,72,9.75,122.47,82.62,6.6
220,Kavaratti,20,IN,1580009189,83,10.57,72.64,78.8,2.28
221,Hailar,100,CN,1580009773,87,49.2,119.7,4.84,7.0
222,Tahta,0,EG,1580009774,67,26.77,31.5,42.8,4.7
223,Vila Franca do Campo,40,PT,1580009200,82,37.72,-25.43,57.2,4.7
224,Imbituba,33,BR,1580009776,88,-28.24,-48.67,73.4,3.36
225,Grasse,75,FR,1580009777,93,43.67,6.92,48.2,3.36
226,Presevo,49,RS,1580009779,85,42.31,21.65,37.0,0.78
227,Olafsvik,77,IS,1580009568,82,64.89,-23.71,31.23,15.55
228,Avarua,100,CK,1580009184,83,-21.21,-159.78,84.2,11.41
229,Whitianga,0,NZ,1580009782,60,-36.83,175.7,82.99,10.0
230,Libreville,40,GA,1580009316,94,0.39,9.45,80.6,2.24
231,Inta,87,RU,1580009228,99,66.03,60.17,-9.24,2.06
232,Popondetta,69,PG,1580009787,67,-8.75,148.25,85.08,4.65
233,Nhulunbuy,75,AU,1580009788,70,-12.23,136.77,87.8,12.75
234,Vila Velha,75,BR,1580009539,94,-20.33,-40.29,71.6,2.24
235,Rio Cuarto,0,AR,1580009565,57,-33.13,-64.35,75.2,5.82
236,Beringovskiy,100,RU,1580009033,85,63.05,179.32,14.74,5.86
237,Bathsheba,75,BB,1580009522,83,13.22,-59.52,77.0,1.12
238,Laas,5,IT,1580009558,92,46.62,10.7,33.01,0.92
239,Fort Nelson,90,CA,1580009569,92,58.81,-122.7,8.6,4.7
240,Rosetta,40,EG,1580009796,87,31.4,30.42,50.0,3.36
241,Orje,100,NO,1580009532,93,59.48,11.66,41.0,11.41
242,Inuvik,90,CA,1580009798,68,68.35,-133.72,-14.8,16.11
243,Santa Rosa,40,PH,1580009799,74,14.31,121.11,87.01,5.82
244,Kazanskaya,100,RU,1580009800,74,45.41,40.44,41.0,21.21
245,Port Augusta,0,AU,1580009546,64,-32.5,137.77,93.0,14.99
246,North Bend,90,US,1580009577,100,43.41,-124.22,55.0,5.82
247,Coquimbo,0,CL,1580009799,93,-29.95,-71.34,62.6,5.82
248,Talakan,100,RU,1580009805,92,50.32,130.37,-3.69,2.24
249,Henderson,1,US,1580009806,42,36.04,-114.98,55.4,5.82
250,Half Moon Bay,90,US,1580009522,93,37.46,-122.43,61.0,4.7
251,Rio Grande,83,BR,1580009534,94,-32.03,-52.1,70.0,7.47
252,Saint-Leu,90,RE,1580009809,83,-21.15,55.28,75.2,6.93
253,Rocha,0,UY,1580009810,78,-34.48,-54.33,60.19,4.52
254,Castro,0,BR,1580009811,93,-24.79,-50.01,61.63,2.84
255,Matagami,90,CA,1580009812,92,49.75,-77.63,28.4,5.82
256,Basoko,21,CD,1580009813,43,1.24,23.62,67.82,2.21
257,Lompoc,90,US,1580009815,93,34.64,-120.46,57.99,6.93
258,Kozhva,91,RU,1580009816,100,65.11,57.05,-14.33,1.3
259,Bayaguana,40,DO,1580009817,94,18.76,-69.64,77.0,4.7
260,Paraiso,40,CR,1580009818,68,9.84,-83.87,70.0,11.41
261,Hokitika,90,NZ,1580009819,92,-42.72,170.97,65.8,4.81
262,Diego de Almagro,0,CL,1580009820,78,-26.37,-70.05,62.98,0.29
263,Kyshtovka,100,RU,1580009821,93,56.55,76.63,8.56,14.16
264,East London,75,ZA,1580009556,88,-33.02,27.91,69.8,11.41
265,Sabha,48,LY,1580009823,24,27.04,14.43,54.81,9.19
266,San Patricio,100,MX,1580009530,70,19.22,-104.7,77.38,7.54
267,Seoni,0,IN,1580009825,37,22.08,79.53,63.37,8.66
268,Bairiki Village,40,KI,1580009555,70,1.33,172.98,89.6,5.82
269,Bambous Virieux,75,MU,1580009534,83,-20.34,57.76,78.01,13.87
270,Sarangani,32,PH,1580009829,74,5.4,125.46,82.76,6.96
271,Rishikesh,0,IN,1580009830,79,30.12,78.32,46.65,3.33
272,Lethem,100,GY,1580009831,59,3.38,-59.8,82.09,12.71
273,Port Hawkesbury,75,CA,1580009832,92,45.62,-61.35,25.0,6.93
274,Suluq,69,LY,1580009833,61,31.67,20.25,49.75,10.31
275,Sarh,37,TD,1580009834,24,9.14,18.39,66.2,5.03
276,Bengkulu,100,ID,1580009835,58,-3.8,102.27,87.44,2.1
277,Sitka,90,US,1580009584,70,57.05,-135.33,46.4,24.16
278,The Pas,90,CA,1580009838,85,53.83,-101.25,17.6,5.82
279,Waddan,80,LY,1580009572,31,29.16,16.14,55.09,3.76
280,Povenets,21,RU,1580009840,96,62.85,34.83,7.02,2.59
281,Tiznit,32,MA,1580009842,91,29.58,-9.5,46.69,4.07
282,Khuzhir,100,RU,1580009843,87,53.19,107.34,17.11,4.43
283,Pevek,100,RU,1580009816,96,69.7,170.31,-9.44,0.45
284,Porto Velho,40,BR,1580009334,94,-8.76,-63.9,80.6,2.01
285,Puerto Lopez,77,CO,1580009847,64,4.08,-72.96,80.33,3.78
286,Novoagansk,97,RU,1580009850,97,61.94,76.66,-1.59,8.79
287,Kahului,20,US,1580009851,57,20.89,-156.47,78.8,14.99
288,Bambanglipuro,2,ID,1580009553,65,-7.95,110.28,85.82,8.81
289,Ilulissat,92,GL,1580009828,46,69.22,-51.1,6.8,10.29
290,Luganville,20,VU,1580009600,66,-15.53,167.17,86.0,6.93
291,Nadym,84,RU,1580009855,100,65.53,72.52,-8.72,3.83
292,Neyshabur,0,IR,1580009634,72,36.21,58.8,27.09,4.16
293,Ageyevo,92,RU,1580009860,79,54.16,36.47,28.4,13.42
294,Aykhal,100,RU,1580009571,74,66.0,111.5,-27.4,6.71
295,Lodja,100,CD,1580009863,69,-3.48,23.43,70.84,2.33
296,Buraidah,0,SA,1580009864,100,26.33,43.98,37.4,6.93
297,Mumford,95,GH,1580009865,90,5.26,-0.76,72.14,2.55
298,Knysna,90,ZA,1580009867,93,-34.04,23.05,62.6,11.41
299,Sur,7,OM,1580009868,83,22.57,59.53,67.05,5.73
300,Dullewala,0,PK,1580009869,65,31.84,71.44,52.29,1.36
301,Tawang,0,IN,1580009870,25,27.58,91.87,30.16,1.86
302,Huatulco,30,MX,1580009871,94,15.84,-96.33,60.19,1.74
303,Aksha,0,RU,1580009872,76,50.28,113.29,4.24,2.04
304,Kuah,20,MY,1580009874,74,6.33,99.84,86.0,5.82
305,Oyama,75,JP,1580009875,60,36.3,139.8,45.0,6.93
306,Ponta do Sol,40,PT,1580009526,71,32.67,-17.1,57.2,5.82
307,Taoudenni,10,ML,1580009877,26,22.68,-3.98,67.41,4.63
308,Dubuque,90,US,1580009878,86,42.48,-90.87,33.8,11.41
309,Khanbari,48,NP,1580009640,77,27.37,87.2,37.15,2.71
310,Dattapur,0,IN,1580009880,42,20.77,78.17,68.9,2.95
311,Waipawa,31,NZ,1580009881,61,-41.41,175.52,77.0,21.92
312,Noumea,75,NC,1580009740,49,-22.28,166.46,91.4,14.99
313,Shaunavon,0,CA,1580009883,91,49.65,-108.42,24.76,14.25
314,Wufeng,0,CN,1580009525,87,27.45,104.83,31.57,1.81
315,Saskylakh,99,RU,1580009888,93,71.92,114.08,-20.51,16.46
316,Changtu,0,CN,1580009889,75,42.78,124.1,12.61,1.66
317,Saint-Pierre,90,RE,1580009891,83,-21.34,55.48,75.2,6.93
318,Genc,2,TR,1580009892,48,38.75,40.56,23.47,8.86
319,Adrar,100,MR,1580009846,23,20.5,-10.07,73.99,10.58
320,Akdepe,90,TM,1580009894,79,42.06,59.38,28.4,13.87
321,Solginskiy,100,RU,1580009897,93,61.05,41.34,8.13,8.9
322,Sawakin,90,SD,1580009572,70,19.11,37.33,70.16,24.47
323,Zapolyarnyy,20,RU,1580009899,73,69.42,30.81,19.4,31.09
324,Los Llanos de Aridane,29,ES,1580009558,55,28.66,-17.92,60.8,8.05
325,Dzhida,45,RU,1580009901,76,50.68,106.18,2.75,0.69
326,Itamaraca,40,BR,1580009902,78,-7.75,-34.83,82.4,8.05
327,Shaping,68,CN,1580009903,88,22.75,112.96,57.0,5.99
328,Arlit,0,NE,1580009904,11,18.74,7.39,64.99,8.28
329,Port Blair,78,IN,1580009535,70,11.67,92.75,77.85,13.78
330,Port Elizabeth,20,ZA,1580009531,88,-33.92,25.57,68.0,23.04
331,Ulaangom,100,MN,1580009539,91,49.98,92.07,-4.72,3.22
332,Saldanha,83,ZA,1580009910,93,-33.01,17.94,59.0,3.36
333,Araouane,100,ML,1580009911,9,18.9,-3.53,75.78,7.18
334,Umm Bab,40,QA,1580009912,32,25.21,50.81,55.99,13.87
335,Sharan,87,RU,1580009913,98,54.82,54.0,13.26,3.71
336,Marovoay,40,MG,1580009914,94,-16.1,46.63,75.2,8.05
337,Bonavista,53,CA,1580009586,81,48.65,-53.11,19.0,7.0
338,Comodoro Rivadavia,0,AR,1580009401,35,-45.87,-67.5,73.4,28.86
339,Kremenchuk,98,UA,1580009918,87,49.1,33.42,32.27,10.31
340,Necochea,0,AR,1580009921,88,-38.55,-58.74,54.0,1.99
341,Tacuarembo,55,UY,1580009906,53,-31.73,-55.98,74.52,4.72
342,Tianpeng,40,CN,1580009923,70,30.99,103.94,46.99,5.93
343,Zhongxing,100,CN,1580009924,90,33.7,118.68,40.32,15.14
344,Kuusamo,94,FI,1580009643,84,65.97,29.18,-2.2,3.36
345,Cedar Rapids,90,US,1580009694,86,42.01,-91.64,30.99,6.93
346,Aitape,4,PG,1580009927,81,-3.14,142.35,83.5,13.33
347,Ochakiv,0,UA,1580009928,74,46.61,31.55,28.4,11.18
348,Kandrian,51,PG,1580009929,66,-6.22,149.55,87.1,7.18
349,Lagoa,100,PT,1580009930,65,39.05,-27.98,57.72,8.63
350,Anadyr,90,RU,1580009806,78,64.75,177.48,15.8,13.42
351,Yerbogachen,100,RU,1580009933,88,61.28,108.01,24.85,16.87
352,Mariehamn,75,AX,1580009934,86,60.1,19.93,41.0,10.29
353,Clyde River,90,CA,1580009542,67,70.47,-68.59,-25.6,10.29
354,Meulaboh,100,ID,1580009565,79,4.14,96.13,81.23,3.94
355,Napier,0,NZ,1580009937,69,-39.48,176.92,81.0,4.0
356,Rehoboth,0,NA,1580009938,26,-23.32,17.08,65.08,11.34
357,Huarmey,100,PE,1580009939,62,-10.07,-78.15,76.44,4.16
358,Cabo San Lucas,75,MX,1580009529,77,22.89,-109.91,68.0,4.7
359,Victor Harbor,20,AU,1580009941,60,-35.57,138.62,78.01,14.99
360,Haines Junction,100,CA,1580009590,99,60.75,-137.51,-14.78,5.93
361,Sept-Iles,75,CA,1580009944,72,50.2,-66.38,17.01,6.93
362,Belmonte,90,BR,1580009945,83,-15.86,-38.88,80.6,13.87
363,Remanso,100,BR,1580009946,63,-9.62,-42.08,78.58,2.17
364,Richards Bay,1,ZA,1580009540,81,-28.78,32.04,77.38,26.22
365,Carbonia,40,IT,1580009790,80,39.17,8.52,48.0,1.12
366,Maamba,3,ZM,1580009949,75,-17.37,27.15,66.09,2.17
367,Boyolangu,64,ID,1580009951,74,-8.12,111.89,82.94,6.78
368,Gushikawa,90,JP,1580009952,94,26.35,127.87,73.4,16.11
369,Esperance,95,AU,1580009953,44,-33.87,121.9,80.6,5.82
370,Pangai,3,TO,1580009954,84,-19.8,-174.35,80.31,11.3
371,Korla,0,CN,1580009956,46,41.76,86.15,15.31,1.63
372,Bantou,100,CN,1580009957,98,26.22,117.49,47.66,5.66
373,Banyo,5,CM,1580009958,21,6.75,11.82,56.53,3.69
